2015-08-11 14:18:19.9968 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-11 14:20:32.7159 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-11 14:23:14.6856 | INFO | 完成跟盤  9 (處理使用: 7,712 毫秒，寫入使用：3,231 毫秒) 

2015-08-11 14:23:46.7185 | INFO | 資料未變動 

2015-08-11 14:24:07.5486 | INFO | 資料未變動 

2015-08-11 14:24:12.6437 | INFO | 資料未變動 

2015-08-11 14:24:17.6998 | INFO | 資料未變動 

2015-08-11 14:24:22.7560 | INFO | 資料未變動 

2015-08-11 14:24:27.7957 | INFO | 資料未變動 

2015-08-11 14:24:32.8122 | INFO | 資料未變動 

2015-08-11 14:24:37.8524 | INFO | 資料未變動 

2015-08-11 14:24:42.8863 | INFO | 資料未變動 

2015-08-11 14:24:47.9316 | INFO | 資料未變動 

2015-08-11 14:24:52.9788 | INFO | 資料未變動 

2015-08-11 14:24:58.0206 | INFO | 資料未變動 

2015-08-11 14:25:03.0530 | INFO | 資料未變動 

2015-08-11 14:25:08.0701 | INFO | 資料未變動 

2015-08-11 14:25:13.1332 | INFO | 資料未變動 

2015-08-11 14:25:18.1722 | INFO | 資料未變動 

2015-08-11 14:25:23.2046 | INFO | 資料未變動 

2015-08-11 14:25:28.2677 | INFO | 資料未變動 

2015-08-11 14:25:33.2379 | INFO | 停止跟盤 

2015-08-11 14:25:34.3816 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-11 14:28:44.9135 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-11 14:30:12.4499 | INFO | 完成跟盤  3 (處理使用:  371 毫秒，寫入使用： 605 毫秒) 

2015-08-11 14:30:17.5279 | INFO | 資料未變動 

2015-08-11 14:30:22.5442 | INFO | 資料未變動 

2015-08-11 14:30:27.5619 | INFO | 資料未變動 

2015-08-11 14:30:32.5832 | INFO | 資料未變動 

2015-08-11 14:30:38.5552 | INFO | 資料未變動 

2015-08-11 14:30:43.6191 | INFO | 資料未變動 

2015-08-11 14:30:48.6363 | INFO | 資料未變動 

2015-08-11 14:30:53.6607 | INFO | 資料未變動 

2015-08-11 14:31:00.5950 | INFO | 資料未變動 

2015-08-11 14:31:05.6290 | INFO | 資料未變動 

2015-08-11 14:31:10.6681 | INFO | 資料未變動 

2015-08-11 14:31:15.6852 | INFO | 資料未變動 

2015-08-11 14:31:20.7147 | INFO | 資料未變動 

2015-08-11 14:31:25.7474 | INFO | 資料未變動 

2015-08-11 14:31:30.7807 | INFO | 資料未變動 

2015-08-11 14:31:35.8754 | INFO | 資料未變動 

2015-08-11 14:31:40.8959 | INFO | 資料未變動 

2015-08-11 14:31:45.9621 | INFO | 資料未變動 

2015-08-11 14:31:50.9949 | INFO | 資料未變動 

2015-08-11 14:31:56.0588 | INFO | 資料未變動 

2015-08-11 14:32:01.1016 | INFO | 資料未變動 

2015-08-11 14:32:06.1340 | INFO | 資料未變動 

2015-08-11 14:32:11.1577 | INFO | 資料未變動 

2015-08-11 14:32:16.1742 | INFO | 資料未變動 

2015-08-11 14:32:21.1953 | INFO | 資料未變動 

2015-08-11 14:32:26.2433 | INFO | 資料未變動 

2015-08-11 14:32:32.5496 | INFO | 資料未變動 

2015-08-11 14:32:37.6283 | INFO | 資料未變動 

2015-08-11 14:32:42.6616 | INFO | 資料未變動 

2015-08-11 14:32:47.7198 | INFO | 資料未變動 

2015-08-11 14:32:52.8059 | INFO | 資料未變動 

2015-08-11 14:32:57.8456 | INFO | 資料未變動 

2015-08-11 14:33:02.8932 | INFO | 資料未變動 

2015-08-11 14:33:07.9502 | INFO | 資料未變動 

2015-08-11 14:33:13.0073 | INFO | 資料未變動 

2015-08-11 14:33:18.0506 | INFO | 資料未變動 

2015-08-11 14:33:23.0672 | INFO | 資料未變動 

2015-08-11 14:33:28.1165 | INFO | 資料未變動 

2015-08-11 14:34:45.9260 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-11 14:36:17.3992 | INFO | 資料未變動 

2015-08-11 14:36:22.4190 | INFO | 資料未變動 

2015-08-11 14:36:27.4355 | INFO | 資料未變動 

2015-08-11 14:36:32.4445 | INFO | 資料未變動 

2015-08-11 14:36:37.5161 | INFO | 資料未變動 

2015-08-11 14:36:44.0485 | INFO | 資料未變動 

2015-08-11 14:36:49.0660 | INFO | 資料未變動 

2015-08-11 14:36:54.1276 | INFO | 資料未變動 

2015-08-11 14:36:59.1750 | INFO | 資料未變動 

2015-08-11 14:37:04.2226 | INFO | 資料未變動 

2015-08-11 14:37:09.2859 | INFO | 資料未變動 

2015-08-11 14:37:14.3423 | INFO | 資料未變動 

2015-08-11 14:37:19.3975 | INFO | 資料未變動 

2015-08-11 14:37:24.4266 | INFO | 資料未變動 

2015-08-11 14:37:29.4590 | INFO | 資料未變動 

2015-08-11 14:37:34.5691 | INFO | 資料未變動 

2015-08-11 14:37:39.8496 | INFO | 資料未變動 

2015-08-11 14:37:44.9468 | INFO | 資料未變動 

2015-08-11 14:37:49.9588 | INFO | 資料未變動 

2015-08-11 14:37:55.0688 | INFO | 資料未變動 

2015-08-11 14:38:00.1857 | INFO | 資料未變動 

2015-08-11 14:38:05.2386 | INFO | 資料未變動 

2015-08-11 14:38:10.2816 | INFO | 資料未變動 

2015-08-11 14:38:15.3561 | INFO | 資料未變動 

2015-08-11 14:38:20.3822 | INFO | 資料未變動 

2015-08-11 14:38:25.4657 | INFO | 資料未變動 

2015-08-11 14:38:30.5651 | INFO | 資料未變動 

2015-08-11 14:38:35.6375 | INFO | 資料未變動 

2015-08-11 14:38:40.6984 | INFO | 資料未變動 

2015-08-11 14:38:45.7943 | INFO | 資料未變動 

2015-08-11 14:38:50.8660 | INFO | 資料未變動 

2015-08-11 14:38:55.9549 | INFO | 資料未變動 

2015-08-11 14:39:01.0307 | INFO | 資料未變動 

2015-08-11 14:39:06.1146 | INFO | 資料未變動 

2015-08-11 14:39:11.1655 | INFO | 資料未變動 

2015-08-11 14:39:16.2430 | INFO | 資料未變動 

2015-08-11 14:39:21.3120 | INFO | 資料未變動 

2015-08-11 14:39:26.3648 | INFO | 資料未變動 

2015-08-11 14:39:31.4188 | INFO | 資料未變動 

2015-08-11 14:39:36.4862 | INFO | 資料未變動 

2015-08-11 14:39:41.5488 | INFO | 資料未變動 

2015-08-11 14:39:46.5839 | INFO | 資料未變動 

2015-08-11 14:39:51.6390 | INFO | 資料未變動 

2015-08-11 14:39:56.7099 | INFO | 資料未變動 

2015-08-11 14:40:01.8480 | INFO | 資料未變動 

2015-08-11 14:40:06.9634 | INFO | 資料未變動 

2015-08-11 14:40:11.9978 | INFO | 資料未變動 

2015-08-11 14:40:17.0442 | INFO | 資料未變動 

2015-08-11 14:40:22.1069 | INFO | 資料未變動 

2015-08-11 14:40:27.1522 | INFO | 資料未變動 

2015-08-11 14:40:32.2018 | INFO | 資料未變動 

2015-08-11 14:40:37.2692 | INFO | 資料未變動 

2015-08-11 14:40:42.3278 | INFO | 資料未變動 

2015-08-11 14:40:47.3509 | INFO | 資料未變動 

2015-08-11 14:40:52.3884 | INFO | 資料未變動 

2015-08-11 14:40:57.4421 | INFO | 資料未變動 

2015-08-11 14:41:02.5143 | INFO | 資料未變動 

2015-08-11 14:41:07.6078 | INFO | 資料未變動 

2015-08-11 14:41:12.6527 | INFO | 資料未變動 

2015-08-11 14:41:17.7050 | INFO | 資料未變動 

2015-08-11 14:41:22.7903 | INFO | 資料未變動 

2015-08-11 14:41:27.8340 | INFO | 資料未變動 

2015-08-11 14:41:32.9549 | INFO | 資料未變動 

2015-08-11 14:41:38.0026 | INFO | 資料未變動 

2015-08-11 14:41:43.0796 | INFO | 資料未變動 

2015-08-11 14:41:48.1433 | INFO | 資料未變動 

2015-08-11 14:41:53.1986 | INFO | 資料未變動 

2015-08-11 14:41:58.2170 | INFO | 資料未變動 

2015-08-11 14:42:03.2344 | INFO | 資料未變動 

2015-08-11 14:42:08.3258 | INFO | 資料未變動 

2015-08-11 14:42:13.3472 | INFO | 資料未變動 

2015-08-11 14:42:18.3817 | INFO | 資料未變動 

2015-08-11 14:42:23.4147 | INFO | 資料未變動 

2015-08-11 14:42:28.4716 | INFO | 資料未變動 

2015-08-11 14:42:33.5692 | INFO | 資料未變動 

2015-08-11 14:42:38.6328 | INFO | 資料未變動 

2015-08-11 14:42:43.6657 | INFO | 資料未變動 

2015-08-11 14:42:48.7213 | INFO | 資料未變動 

2015-08-11 14:42:53.7379 | INFO | 資料未變動 

2015-08-11 14:42:58.7855 | INFO | 資料未變動 

2015-08-11 14:43:03.8082 | INFO | 資料未變動 

2015-08-11 14:43:08.8247 | INFO | 資料未變動 

2015-08-11 14:43:13.8641 | INFO | 資料未變動 

2015-08-11 14:43:18.8900 | INFO | 資料未變動 

2015-08-11 14:43:23.9791 | INFO | 資料未變動 

2015-08-11 14:43:29.0132 | INFO | 資料未變動 

2015-08-11 14:43:34.0452 | INFO | 資料未變動 

2015-08-11 14:43:39.1159 | INFO | 資料未變動 

2015-08-11 14:43:44.1538 | INFO | 資料未變動 

2015-08-11 14:43:49.2205 | INFO | 資料未變動 

2015-08-11 14:43:54.2791 | INFO | 資料未變動 

2015-08-11 14:43:59.3157 | INFO | 資料未變動 

2015-08-11 14:44:04.3699 | INFO | 資料未變動 

2015-08-11 14:44:09.4383 | INFO | 資料未變動 

2015-08-11 14:44:14.4843 | INFO | 資料未變動 

2015-08-11 14:44:19.5241 | INFO | 資料未變動 

2015-08-11 14:44:24.5781 | INFO | 資料未變動 

2015-08-11 14:44:29.6024 | INFO | 資料未變動 

2015-08-11 14:44:34.6718 | INFO | 資料未變動 

2015-08-11 14:44:39.7098 | INFO | 資料未變動 

2015-08-11 14:44:44.7473 | INFO | 資料未變動 

2015-08-11 14:44:49.7700 | INFO | 資料未變動 

2015-08-11 14:44:54.7914 | INFO | 資料未變動 

2015-08-11 14:44:59.8156 | INFO | 資料未變動 

2015-08-11 14:45:04.8340 | INFO | 資料未變動 

2015-08-11 14:45:09.8683 | INFO | 資料未變動 

2015-08-11 14:45:14.9040 | INFO | 資料未變動 

2015-08-11 14:45:19.9662 | INFO | 資料未變動 

2015-08-11 14:45:24.9954 | INFO | 資料未變動 

2015-08-11 14:45:30.0452 | INFO | 資料未變動 

2015-08-11 14:45:35.0815 | INFO | 資料未變動 

2015-08-11 14:45:40.1090 | INFO | 資料未變動 

2015-08-11 14:45:45.1438 | INFO | 資料未變動 

2015-08-11 14:45:50.1878 | INFO | 資料未變動 

2015-08-11 14:45:55.2055 | INFO | 資料未變動 

2015-08-11 14:46:00.2472 | INFO | 資料未變動 

2015-08-11 14:46:05.2914 | INFO | 資料未變動 

2015-08-11 14:46:10.3154 | INFO | 資料未變動 

2015-08-11 14:46:15.3451 | INFO | 資料未變動 

2015-08-11 14:46:20.3694 | INFO | 資料未變動 

2015-08-11 14:46:25.4034 | INFO | 資料未變動 

2015-08-11 14:46:30.4655 | INFO | 資料未變動 

2015-08-11 14:46:35.4857 | INFO | 資料未變動 

2015-08-11 14:46:40.5574 | INFO | 資料未變動 

2015-08-11 14:46:45.5970 | INFO | 資料未變動 

2015-08-11 14:46:50.6377 | INFO | 資料未變動 

2015-08-11 14:46:55.6708 | INFO | 資料未變動 

2015-08-11 14:47:00.7297 | INFO | 資料未變動 

2015-08-11 14:47:05.7654 | INFO | 資料未變動 

2015-08-11 14:47:10.8176 | INFO | 資料未變動 

2015-08-11 14:47:15.8720 | INFO | 資料未變動 

2015-08-11 14:47:20.9132 | INFO | 資料未變動 

2015-08-11 14:47:25.9303 | INFO | 資料未變動 

2015-08-11 14:47:31.1019 | INFO | 資料未變動 

2015-08-11 14:47:36.1387 | INFO | 資料未變動 

2015-08-11 14:47:41.6627 | INFO | 資料未變動 

2015-08-11 14:47:46.7474 | INFO | 資料未變動 

2015-08-11 14:47:51.8581 | INFO | 資料未變動 

2015-08-11 14:47:56.9535 | INFO | 資料未變動 

2015-08-11 14:48:02.0714 | INFO | 資料未變動 

2015-08-11 14:48:07.1504 | INFO | 資料未變動 

2015-08-11 14:48:12.1878 | INFO | 資料未變動 

2015-08-11 14:48:17.2235 | INFO | 資料未變動 

2015-08-11 14:48:22.2761 | INFO | 資料未變動 

2015-08-11 14:48:27.2990 | INFO | 資料未變動 

2015-08-11 14:48:32.4439 | INFO | 資料未變動 

2015-08-11 14:48:37.4836 | INFO | 資料未變動 

2015-08-11 14:48:42.5739 | INFO | 資料未變動 

2015-08-11 14:48:47.6008 | INFO | 資料未變動 

2015-08-11 14:48:52.7167 | INFO | 資料未變動 

2015-08-11 14:48:57.7893 | INFO | 資料未變動 

2015-08-11 14:49:02.8881 | INFO | 資料未變動 

2015-08-11 14:49:07.9671 | INFO | 資料未變動 

2015-08-11 14:49:13.0012 | INFO | 資料未變動 

2015-08-11 14:49:18.0830 | INFO | 資料未變動 

2015-08-11 14:49:23.1385 | INFO | 資料未變動 

2015-08-11 14:49:28.2590 | INFO | 資料未變動 

2015-08-11 14:49:33.3571 | INFO | 資料未變動 

2015-08-11 14:49:38.4006 | INFO | 資料未變動 

2015-08-11 14:49:43.4380 | INFO | 資料未變動 

2015-08-11 14:49:48.5235 | INFO | 資料未變動 

2015-08-11 14:49:53.5910 | INFO | 資料未變動 

2015-08-11 14:49:58.6277 | INFO | 資料未變動 

2015-08-11 14:50:03.7253 | INFO | 資料未變動 

2015-08-11 14:50:08.7939 | INFO | 資料未變動 

2015-08-11 14:50:13.8707 | INFO | 資料未變動 

2015-08-11 14:50:18.9186 | INFO | 資料未變動 

2015-08-11 14:50:23.9823 | INFO | 資料未變動 

2015-08-11 14:50:29.0315 | INFO | 資料未變動 

2015-08-11 14:50:34.0976 | INFO | 資料未變動 

2015-08-11 14:50:39.1240 | INFO | 資料未變動 

2015-08-11 14:50:44.1478 | INFO | 資料未變動 

2015-08-11 14:50:49.1686 | INFO | 資料未變動 

2015-08-11 14:50:54.1916 | INFO | 資料未變動 

2015-08-11 14:50:59.2551 | INFO | 資料未變動 

2015-08-11 14:51:04.3121 | INFO | 資料未變動 

2015-08-11 14:51:09.4073 | INFO | 資料未變動 

2015-08-11 14:51:14.4712 | INFO | 資料未變動 

2015-08-11 14:51:19.5033 | INFO | 資料未變動 

2015-08-11 14:51:24.5577 | INFO | 資料未變動 

2015-08-11 14:51:29.8399 | INFO | 資料未變動 

2015-08-11 14:51:34.8932 | INFO | 資料未變動 

2015-08-11 14:51:39.9246 | INFO | 資料未變動 

2015-08-11 14:51:44.9518 | INFO | 資料未變動 

2015-08-11 14:51:49.9997 | INFO | 資料未變動 

2015-08-11 14:51:55.1182 | INFO | 資料未變動 

2015-08-11 14:52:00.1664 | INFO | 資料未變動 

2015-08-11 14:52:05.2379 | INFO | 資料未變動 

2015-08-11 14:52:10.2829 | INFO | 資料未變動 

2015-08-11 14:52:15.3464 | INFO | 資料未變動 

2015-08-11 14:52:20.4106 | INFO | 資料未變動 

2015-08-11 14:52:25.4595 | INFO | 資料未變動 

2015-08-11 14:52:30.5305 | INFO | 資料未變動 

2015-08-11 14:52:35.5783 | INFO | 資料未變動 

2015-08-11 14:52:40.6102 | INFO | 資料未變動 

2015-08-11 14:52:45.6420 | INFO | 資料未變動 

2015-08-11 14:52:50.6955 | INFO | 資料未變動 

2015-08-11 14:52:55.7431 | INFO | 資料未變動 

2015-08-11 14:53:00.7818 | INFO | 資料未變動 

2015-08-11 14:53:05.8301 | INFO | 資料未變動 

2015-08-11 14:53:10.8825 | INFO | 資料未變動 

2015-08-11 14:53:15.9146 | INFO | 資料未變動 

2015-08-11 14:53:20.9472 | INFO | 資料未變動 

2015-08-11 14:53:26.0102 | INFO | 資料未變動 

2015-08-11 14:53:31.0810 | INFO | 資料未變動 

2015-08-11 14:53:36.1127 | INFO | 資料未變動 

2015-08-11 14:53:41.1450 | INFO | 資料未變動 

